ñpq	1
asf	60
äíá	8
yüa	1
nkô	1
äíé	2
äíë	1
nkü	1
?!-	1
nkà	3
nak	636
y î	1
îéó	1
?! 	10
mxb	2
wf 	21
wf.	2
wf,	2
wf-	1
fbn	19
jej	44
jek	14
jeh	19
nks	3847
jen	406
jeo	102
jel	72
nkw	5
jeb	34
jec	12268
jea	569
jef	515
jeg	3
jed	86
jee	270
jez	10
nka	698
nkb	23
nkc	3
nkd	1
nke	3431
nkf	144
nkg	30
jer	1508
nki	4049
jep	1
nkl	1013
jew	2296
jet	472
nko	126
wfu	700
wfa	31
wfo	93
wfl	11
wfm	2
zá 	7
wfi	53
je,	10
je-	2
nië	2
nk:	32
nk;	21
nk?	74
nk 	28896
nk!	18
nk'	131
nk,	808
nk-	225
nk.	482
é ä	1
.d,	1
.d.	557
.d 	6
.du	7
.dt	6
.dw	1
xy,	34
.dr	2
.dm	3
.dl	23
.do	23
.dn	5
.di	9
.dh	3
.dk	6
.de	29
.da	65
.db	1
llã	1
fnl	1
y â	1
öff	2
éa 	1
azg	2
íêá	3
ceq	6
újo	1
úja	1
yd 	195
r';	12
yd'	11
r'?	6
yd.	4
yd-	2
r',	13
r'-	2
r'.	7
r' 	148
:da	1
--t	3989
ydb	6
yda	607
ydg	1
ydd	4
yde	642
r's	7891
ydn	167
ydo	42
ydl	1
r'w	1
ydr	1701
r'l	5
ydu	1
r'a	7
ydx	15
r'd	5
r'e	3
äbo	4
näp	1
näg	1
e.-	32
lló	6
kló	15
kl,	18
kl.	8
az-	11
kl 	83
cv 	297
nkp	6
nkq	1
nkr	211
nkt	39
nku	38
ññj	1
kly	2371
nkv	4
klp	6
klr	1
jem	21
klt	2
klu	103
klh	12
kli	867
klk	1
kll	1
klm	6
kln	1
klo	342
kla	894
klb	2
kle	1759
klf	8
klg	1
-c;	2
jey	4
-c 	282
-c.	48
-c-	49
-c,	44
wbp	1
nkh	35
ejn	3
jes	1098
-cw	2
-cu	488
-ct	51
-cs	45
-cr	588
-cp	45
jev	68
avá	3
-cz	1
-cy	318
nkm	35
-cg	41
-cf	4
-ce	2489
-cd	309
-cc	89
nkn	788
-ca	2328
-co	5023
-cn	23
-cm	58
-cl	1296
-ci	307
-ch	1346
m-z	1
.ia	3
wfr	17
pól	1
áje	1
ája	3
êîé	1
etí	1
lax	858
hgs	20
-cô	1
hgp	1
wfe	1
-cé	2
ppé	2
vf 	22
vf.	2
vf,	2
hgg	1
m-q	2
lan	37697
ii,	840
hgb	4
ì c	1
 tê	9
 té	48
vfw	2
ì f	1
 tí	8
 tá	11
 tà	6
ì l	1
 tú	4
vfa	8
brü	7
ì w	1
hgo	15
 tó	2
je.	1
vfi	3
vfo	1
 tö	2
hgm	8
lac	21032
je 	38
ppo	14659
ppn	70
ppm	102
ppl	8388
 t.	285
ppi	4511
 t,	49
e!i	1
ppe	17740
 t 	2581
 t'	17
ppa	3459
 t;	3
 t:	4
 t?	2
ppy	1482
ppx	5
ppw	2
ppv	19
ppu	30
ppt	160
pps	140
ppr	12327
ppp	206
je;	1
azú	2
 tk	133
e! 	601
