û q	511
:ka	623395
cfe	4066
éry	46852
érr	4949
érs	1065
ért	3851
éru	68688
érv	1668
gab	123943
éri	3332972
érk	514
érm	715
érn	365
éro	718069
éra	2172066
érc	2496
érd	385
ére	1522448
érf	718
érg	1600
q-p	272
q-s	762
q-r	336
q-t	2810
q-h	223
q-k	342
q-j	351
q-m	1194
q-l	597
q-o	428
q-n	303
q-a	556
q-c	2157
q-b	433
q-e	1075
q-d	570
ér.	764
ér 	1998
érô	31950
érè	25783
éré	428068
érê	81096
û n	449
lmr	869
cav	126885
tív	527
sy'	269
dne	60934
dnd	262
dnf	1738
dna	21098
dnc	889
dnb	465
dno	12082
dni	26558
dnj	1319
dnu	1570
dnt	221
tíc	1114
dnq	818
dnp	582
dns	2704
tíd	374
dg.	865
!!t	949
sy,	14421
dn'	1808
dn 	11658
dn,	2169
dn.	2211
tím	491
tío	450
cfv	283
dná	906
dní	2927
dné	1150
fir	256778
fis	166418
fip	4606
fiq	280312
fiv	13031
uov	7664
fit	216955
uot	74964
fiz	5854
uoz	994
fix	93964
fiy	1081
fib	27472
fic	2049272
uoa	561
fia	204876
fif	25900
fig	221108
fid	80357
fie	440998
uok	32245
fik	8662
uoi	140995
fii	1483
fin	1833086
fio	33326
fil	1513733
uol	11326
úcu	502
fi:	194841
fi 	44065
uo 	40914
fi'	462
fi.	4642
uo.	1734
fi,	7527
uo,	2901
syc	118568
dgc	753
pxm	291
ôch	312
dgf	275
syf	1771
syd	29353
 yú	255
ér,	271
fiè	12880
fié	235623
syi	514
dgi	11387
syn	329408
gañ	550
dgm	2011
 yó	306
gaî	1581
tí,	267
syp	5843
 yö	641
gaë	8648
gaé	5932
dgu	1270
a;b	12943
û é	315
,av	501
vgl	236
vgn	228
vgi	424
vge	5177
vgg	1550
vga	2458
vgb	1734
vgu	4628
aé 	1473
vgr	2777
vg,	1167
vg.	1997
aét	2249
vg 	13804
aér	186959
aél	31005
aén	2045
aéd	2151
irú	448
irò	454
iró	3477
irô	1538
irè	13468
iré	168785
irà	354
irá	4888
irâ	1373
irã	1339
ldp	2945
rî 	901
ìá 	254
rî:	789
iry	18122
irz	5336
irp	19182
irq	15002
irr	71746
irs	271454
irt	79028
iru	76089
irv	21773
irw	11854
xvi	94224
iri	574194
irj	4394
irk	46604
irl	185440
irm	195220
irn	18191
iro	601651
xva	14086
ira	711922
irb	26872
irc	320940
ird	46719
ire	8774939
irf	5544
irg	87122
rît	356
ir:	5576
ir,	144831
ir-	31042
ir.	128560
xv.	4388
ir 	2824474
xv 	47454
lât	8451
lâa	592
lâc	15081
lâb	229
lâh	860
lâl	434
lân	4980
frc	490
frb	1291
fra	3892734
frg	374
frf	1086
fre	596929
frd	351
frj	221
fri	499804
frh	312
fro	826743
frn	266
frm	969
frl	265
frs	1933
frr	2798
frp	2820
frw	1163
fru	70953
frt	301
fry	9070
 yh	1377
 yi	21624
lâ 	487
 ym	1868
fr 	57612
fr.	680462
fr-	6058
fr,	20893
fr;	773
fr:	15331
fr?	3127
 yd	1166
tôl	2481
 yx	256
frá	595
frä	1691
frê	3740
fré	210647
frè	161131
frí	1059
fró	393
frö	3053
frô	1559
frü	1608
 yq	255
 ys	3624
 .h	727
 yt	1741
 yw	295
a,.	283
ld;	25039
 íñ	367
hah	30325
hai	329125
haj	15171
hak	71695
hal	606474
ham	1617550
han	1842081
hao	42037
;ke	895
haa	33578
hab	594435
hac	170931
had	115379
hae	185068
haf	56913
hag	142965
hax	2601
hay	78360
haz	38301
hap	348054
haq	198756
har	1964173
has	353571
hat	283652
hau	850855
hav	102181
haw	97407
ha,	26864
ha-	11650
ha.	13760
ha 	197789
ha!	1124
ha'	3088
ha:	1730
ha;	348
 ía	247
 íb	405
cf,	6139
 ín	927
 ír	398
 ís	715
haé	1377
haë	21168
haí	300
haî	105361
haï	65637
haâ	818
haü	753
 í 	1427
d '	2466
d !	5041
d  	147174
d -	55164
d ,	3191
d ?	4274
d ;	19166
d :	87114
äst	6846
äss	2316
äsl	332
äsm	838
äsk	1627
xkü	232
äsi	1484
äse	1246
äsb	295
äsc	640
äsa	266
d g	150591
d f	163071
d e	459099
d d	838867
d c	353623
d b	269340
d a	384098
d o	173089
d n	126728
d m	262458
d l	329088
d k	65381
d j	79880
d i	168284
d h	143056
d w	107626
d v	97778
d u	76762
d t	262988
d s	436726
d r	196485
d q	68152
d p	427697
d z	19044
d y	17635
d x	3225
ldó	1095
dny	1655
äs 	1462
a,n	260
xka	300
d â	905
d á	531
d à	94933
d ê	1168
d é	35431
d ö	324
d ü	350
a,t	243
kx.	254
kx 	2946
dn-	452
zru	1523
zrt	330
zre	3065
zra	7744
zro	2591
zrn	221
zri	2445
ufd	669
ysm	6581
ufz	273
zr 	626
ufp	278
g? 	673
wv 	5721
ysc	10728
uft	14278
wvi	232
 pp	70182
ysg	932
 pv	8708
 pt	59109
 pc	48241
 pf	19025
pít	661
nsh	97795
pír	2005
pís	1275
pía	697
 pj	6013
pín	1697
pío	506
jig	5920
jid	8086
jie	8258
jib	10709
jia	31056
jin	54624
jil	18101
jim	87299
jij	2397
jik	9437
jih	5091
jii	1293
jiv	3939
jiw	5003
jit	10386
jiu	2912
jir	13449
jis	6299
jip	968
jiq	351
ähr	2010
:aï	643
:aé	2096
pí 	242
nsf	185474
:añ	1007
ji'	231
ji 	74039
ji.	4040
ji,	7454
ji-	3103
ji:	300
:a.	1205
:a-	802
:a 	13213
nsp	351257
jià	345
mów	325
móv	3228
mós	748
mór	1795
món	12498
mód	411
móc	429
:an	182304
:ao	2216
:al	190082
:am	45592
:aj	2337
:ak	8989
:ah	9897
:ai	21949
:af	11515
:ag	21013
:ad	34205
:ae	8800
:ab	31625
:ac	65742
:aa	4885
:az	7698
:ax	1716
:ay	3855
:av	33239
:aw	1365
:at	45895
:au	68745
:ar	139402
:as	47372
:ap	22979
:aq	2528
 gü	14129
mó 	242
afr	289324
zoá	888
zoé	3537
zoï	6296
 gê	21816
zoa	6568
zob	3527
zoc	4508
zod	8217
zof	3662
zog	9636
zoi	5296
zol	38732
zon	369810
zoo	63579
zop	7011
zor	32445
zos	12109
zot	20021
zou	41655
zov	15038
zoy	2186
zoz	3769
ns'	2460
eét	1387
yrb	697
uos	11355
uor	39572
uop	2737
uow	307
uou	2703
uoy	2396
uox	419
yz 	3673
pòr	300
yz,	629
yz.	284
uoc	2226
uob	662
uog	1091
uof	820
yzs	448
yzu	398
yzy	990
uod	6252
yza	34199
yze	5691
yzh	361
yzi	3322
fih	778
yzn	1345
yzo	2964
uoh	1029
sòn	242
uon	19802
sòs	275
uom	10515
vuo	7134
fim	9202
vul	44622
gwi	7858
gwh	457
gwu	826
yzé	399
 gp	24094
vuz	787
uid	160341
 gf	10503
 go	1071487
uik	7258
uo-	848
fi-	1852
uil	1203438
èct	244
èce	449832
èch	63157
èci	506
ècl	283133
uin	794035
íba	3853
íbv	318
íbr	504
vl.	488
câb	15757
cân	1715
câl	732
câm	1198
câr	234
câp	274
ën.	421
ën,	904
ën 	8728
ënn	524
ënd	421
ëne	326
ënz	315
ënt	311
ëns	2655
vli	12016
úpa	300
vlb	692
vle	9506
vls	5152
w' 	471
üit	930
w's	1979
ux'	373
ux 	4900585
ux!	742
ux.	200332
,il	1755
,in	775
ihm	1742
fhu	369
âbh	256
úmi	397
úma	533
úme	1595
úmr	3439
ás,	1147
úmu	240
evo	190226
nr.	4659
nr-	1173
nr,	648
nr 	4857
nrk	526
nrj	5205
nri	253210
nrh	1231
nro	36580
nrm	3560
nrl	813
nrc	860
nra	39228
nrg	402
nrf	1303
nre	500607
nrd	305
nry	83973
nrs	14299
ta?	220
nrp	608
nrw	382
nru	4029
nrt	1959
 fó	982
íja	638
knè	2123
 fö	4915
 fû	9993
 fú	5923
 fü	19607
 fá	2853
 fà	521
 fâ	4088
 fä	2224
 fé	721812
 fè	8027
 fë	483
 fê	87109
 fí	891
 fî	605
nmö	260
nmô	265
ühr	8603
 f:	612
kn 	1511
 f 	25591
ühe	2509
kn:	5480
ühb	228
 f'	973
ühl	8367
 f-	10987
 f,	3600
 f.	70315
nrê	700
nré	8326
nrí	952
vgo	4243
nrö	259
nrô	3457
 fq	524
kno	48641
 fs	8417
 fr	4598592
 fu	1246354
 ft	12303
 fw	3624
kni	32750
 fy	5447
 fx	4070
knd	240
kne	26859
kna	9637
 fa	3797570
 fc	204574
 fb	9823
 fe	1386074
 fd	8590
 fg	5656
 ff	40507
 fi	3092035
 fh	3258
 fk	13384
knu	7818
 fm	18600
 fl	766359
 fo	4429802
 fn	10620
nmá	244
vgc	335
cên	223
ásl	246
kla	93982
ii-	7919
.ff	2690
ádú	282
klo	38431
.a 	3544
.a.	49787
.a,	527
.a-	296
.ew	253
vg-	635
.et	4327
.ab	3042
.ac	30968
.aa	905
.af	2136
.ag	2618
.ad	4081
.ae	1403
tia	549773
.ah	330
.ai	2101
.an	6505
.ao	510
.al	8563
.am	4892
.ar	15136
.as	73473
.ap	3900
.aq	373
.av	1583
.aw	265
.at	5347
.au	8335
.az	568
.ax	310
.ay	312
wée	1009
wén	670
evv	535
è, 	2120
wé 	2117
wé,	393
éze	10725
áez	2067
áed	1036
áel	707
áen	750
.f.	22263
cês	217
jî 	324
ásá	754
pf 	11680
pf-	675
pf,	3196
pf.	1655
ïf 	1789
gòr	512
xvè	328
ïf.	221
irê	228
ïf,	577
by,	15403
irí	1231
pfa	8800
pfc	1536
pfb	269
pfe	12258
pfg	2156
pff	3598
pfi	4222
pfh	320
pfk	1131
pfm	260
pfl	7900
pfo	2241
pfn	451
pfp	228
pfs	2955
pfr	1474
pfu	1626
pft	353
pfw	703
pfv	361
mjä	810
ïfa	2714
ïfi	294
ïfs	510
mjö	375
mj 	1811
mj,	647
mj.	396
pfä	726
ixh	1489
ádu	271
mje	2375
mja	2595
mjc	813
mjo	1458
mju	632
mjp	228
mjs	338
dlö	258
ìxi	500
:té	11234
!wi	95582
uó 	309
pq.	467
irh	4174
ae;	359
ae:	2763
ae 	121056
ae-	3808
ae,	25214
ae.	53306
ayy	6352
aeq	3757
aep	4610
aes	39187
aer	85676
aeu	16174
aet	37487
aew	6497
aev	9886
aey	3322
xve	7895
aez	3694
aea	24781
aec	20181
aeb	4556
aee	2427
aed	15827
aeg	17889
aef	8225
aei	5435
aeh	3223
aek	12642
aej	2172
aem	18921
ael	205466
aeo	12704
aen	75382
z.b	488
z.n	506
cv:	8785
rb:	336
cv.	1000
rb.	3061
cv,	1038
cv-	1926
cv 	6583
rb 	14562
ir;	932
rby	25501
cvv	229
rbu	85132
ir?	804
rbs	7140
rbr	105095
ofí	1286
rbo	235675
cvl	505
rbl	10419
rbj	961
rbi	324218
rbh	926
rbg	269
rbf	257
rbe	336811
rbd	557
rbc	1256
rba	354542
cva	1321
of 	1013139
gäl	369
of.	6837
of,	6253
of-	5045
of:	239
xv-	691
xv,	6258
ir!	791
ofb	1295
ofc	5744
ofa	27250
off	836382
ofg	973
ofd	1635
ofe	336465
ofj	641
ofk	1363
ofh	2113
ofi	155207
rbó	1652
ofo	107182
ofl	12917
ofm	3551
ofr	8898
ofs	13040
ofp	656
ofv	956
oft	63560
rbè	12343
ofz	307
ofx	433
cvá	1449
z. 	36618
:nv	221
hí:	370
hí 	1434
lâm	3120
hís	220
hín	850
híd	1021
hía	1364
r;l	2212
d:x	270
 lk	1463
cm.	7363
cm-	1111
cm,	8581
cm 	63747
öer	268
cm;	440
oân	265
cmo	3328
cmn	346
cmm	789
cml	767
cmj	574
cmi	7757
cmh	681
cmg	543
cmf	432
cme	6138
cmd	1166
cmc	1821
cmb	579
cma	16523
cmx	290
cmv	276
cmu	3115
cmt	857
cms	2914
cmr	737
cmp	1659
ôzu	226
cmé	797
brz	5429
bry	50881
brw	228
brv	1432
bru	500763
brt	667
brs	920
brr	827
brp	315
bro	539851
brn	5610
brm	2545
brl	530
brk	303
brj	247
bri	1053013
brh	364
brg	5415
brf	343
bre	3847530
brd	3006
brc	638
brb	282
bra	739700
er?	5096
er:	339366
er;	160076
er'	32000
er 	10677589
tn 	4553
er,	963393
er-	480498
er.	518018
br:	46181
br.	5162
br-	1480
br,	667
br 	43779
ert	2723866
eru	86686
erv	1361048
erw	62199
erp	297183
erq	26696
err	2887195
ers	5102784
erx	2826
ery	273127
erz	98973
erd	480723
ere	816190
erf	454893
erg	839642
tna	48362
era	1459277
erb	441334
erc	1313283
tnm	355
erm	1641282
ern	3380019
ero	675786
tni	41821
eri	1589285
erj	18311
erk	110749
brü	12070
brû	27074
brö	1109
bró	822
brí	668
brê	6980
bré	190749
brè	18209
brä	1509
brâ	918
brá	1627
mpc	2858
mpm	3088
erô	529
mpv	1473
eró	7164
mpt	459152
erú	1589
erä	1551
mpu	96680
tná	5749
erá	3363
erã	2496
tní	2715
erí	10012
erî	229
tné	781
eré	14711
erê	2257
mpz	365
ïad	567
 öh	341
 ön	477
! é	10975
! à	1232
 ör	2402
! b	42477
! c	95235
! a	84466
! f	13813
! g	10763
! z	1188
! x	1098
! y	1640
! r	54278
! s	533431
! p	78784
! q	6158
! v	20904
! w	85243
! t	40155
! u	4834
c-n	4831
ké.	789
ké,	1535
ké 	18996
em'	942
em 	245171
em-	6642
em,	31300
em.	26215
em;	65492
em:	1308
kéz	430
kés	3332
kér	6593
kép	1774
g b	68035
kév	2196
két	1872
kék	881
kéi	283
kéh	856
kéo	527
kén	6674
kém	16342
kél	2197
kéb	2107
kéf	316
kée	3015
kéd	1629
eme	7623437
ébé	96221
emg	2561
emf	2226
ema	1405201
emc	7867
emb	2474705
emm	515748
eml	13458
emo	309770
emn	24557
emi	2019366
emh	2960
emk	3114
emj	1050
emu	32474
emt	4004
emw	674
emv	1862
emp	2334402
ems	55523
emr	4615
emy	56994
emz	2494
éb.	255
;km	16260
mpí	614
;ko	1038
;kn	316
;ki	528
ébi	51657
ébl	11808
ébo	32109
emí	1155
éba	173406
emé	18188
ébe	206416
éby	645
emö	256
emó	963
emü	1491
ébr	94521
ébu	462474
;ka	571
gn:	660561
gn?	1215
gn 	47322
gn.	5692
gn,	4146
gn-	1444
;ku	492
;kw	885
gns	3821
gnp	884
gnv	1048
gnt	2522
gnu	33012
gny	137559
gnb	17694
gnc	347
gna	531116
gnf	896
gng	300
gnd	507
gne	2626376
gnj	902
gnh	465
gni	391479
gno	403646
gnl	661
gnm	1188
t'u	346
mii	12000
mij	7805
mil	1699382
gnô	261
gnú	450
mia	103879
gná	355
gnä	387
gnè	17669
gné	291376
mid	286079
mif	23473
uéd	41396
x! 	642
x!!	243
t'm	243
klé	2739
uéz	1109
zê 	223
q z	324
q x	219
q y	280
q r	5572
q s	12879
q p	15965
q q	2139
q v	4235
q w	476
q t	5372
q u	775
q j	4537
q k	2022
q h	3514
q o	3296
q l	4204
q m	14500
q b	11008
q c	16925
q a	33417
q f	7472
q g	3078
q d	14291
q e	14258
dlf	256
q :	11637
q ;	622
q ?	313
q -	1744
q  	2398
vwa	228
q é	4909
q à	2431
dli	26945
vw 	1120
l,l	219
jök	1527
t;b	5267
gu 	17756
gu.	2375
gu-	1473
gu,	4155
gu:	2497
guc	10789
gub	5546
gua	257236
gug	8722
guf	5715
gue	2291499
gud	10292
guk	1641
gui	637584
guh	1228
guo	7656
gun	84701
gum	64038
gul	203365
gus	210935
gur	259217
gup	3551
guw	387
guu	1200
gut	30015
guz	7010
guy	117487
guë	7148
guê	3153
gué	145249
guè	18539
guï	4107
guî	1100
guó	407
uzl	2805
uzm	4999
uzn	7071
uzo	24719
uzh	6339
uzi	44283
fbu	460
uzk	1282
uzd	1966
uze	97395
uzg	573
uza	56769
uzb	9127
uzc	2319
fbc	1501
fbb	25218
fba	1984
