gae	14721
éry	2918
érp	8876
érr	5432
érs	13883
ért	9086
éru	1061
érv	15124
gab	57869
éri	526991
érk	296
érm	16905
érn	1264
éro	10095
éra	16903
érb	1871
érc	82274
érd	540
ére	45338
érf	879
érg	18600
q-s	191
q-t	352
q-e	123
q-d	128
,j.	128
ér.	126
ér 	492
érô	984
érè	456
éré	2642
cav	121569
dne	26919
dnd	118
dnf	4995
dna	15492
dnc	117
dno	5931
dni	12659
dnk	142
dnj	454
dnu	535
dnq	2506
dnp	919
dns	2921
sy,	2144
dn'	1161
dn 	3020
dn,	772
dn.	999
òpi	136
dná	357
dní	1341
dné	456
cft	142
ufl	4531
q-m	144
fir	131774
fis	129558
fip	25108
fiq	13712
fiv	5552
uov	3468
fit	36384
uot	12269
fiz	41503
uoz	266
fix	36447
fiy	652
fib	10804
fic	1145180
uoa	401
fia	340093
fif	29552
fig	86369
fid	19566
fie	66111
uok	25798
fik	3916
uoi	1717
fii	819
fin	527532
fio	27990
fil	781865
fim	103664
fi:	147492
uo:	178
ufm	3664
fi 	8961
uo 	24424
fi'	143
fi.	820
uo.	2453
fi,	1396
uo,	3263
-ão	333
dgc	314
ôco	295
dgf	1057
gaú	13177
fió	471
fiú	290
dge	65159
fiã	375
fiá	13079
syj	511
fiè	232
fié	3730
syi	364
dgn	131
syn	17387
gañ	603
syl	19775
syr	6534
tí,	181
gaí	346
 yö	600
syw	165
gaê	3112
syu	1808
syt	1890
ísu	227
jáv	2269
êde	137
a;b	131
,au	150
vgl	184
vgn	172
vgo	1237
vgi	141
vge	2594
vgg	329
vga	978
vgb	372
vgt	247
vgu	489
vgv	181
aé 	1460
vgr	834
vg,	134
vg-	1094
vg.	434
vg 	2763
aér	31866
aém	799
aél	1063
aén	935
aéc	599
irú	2878
irò	253
iró	6658
irô	1262
irõ	929
iré	2621
irí	5489
irà	154
irá	25292
irâ	3601
irã	32282
ldp	2403
ìá 	266
rî:	745
iry	7308
irz	1841
irp	9952
irq	1072
irr	132953
irs	40463
irt	47946
iru	31510
irv	8693
irw	5492
xvi	45839
iri	253696
irj	2178
irk	19000
irl	74298
irm	172006
irn	7706
iro	1608548
ira	1493015
irb	8702
irc	87598
ird	41406
ire	1237949
irf	2489
irg	47957
rîa	139
rîu	2713
ir:	4899
ir,	24752
ir-	16923
ir.	19377
xv.	1444
ir 	545563
xv 	6277
ir'	305
lâm	13619
lân	93983
frc	122
frb	147
fra	644139
frg	2143
fre	373625
frj	1995
fri	185529
fro	164439
frn	465
frm	170
frs	617
frr	2579
frp	2260
fru	32471
fry	2985
 yh	833
 yl	1229
tôt	119
 ym	667
oân	231
fr 	11664
 yn	2361
fr.	2346
fr-	2142
fr,	470
fr:	391069
 yc	583
 yd	394
ufê	163
 yf	481
frã	2394
frâ	1304
frá	5909
frä	390
frê	474
fré	5077
frè	680
frí	2700
fró	828
frö	2364
frõ	184
frô	169
frü	501
 yq	175
 ys	955
 .h	398
 yt	776
 yw	202
a,.	185
a,,	143
;km	137987
hai	59018
haj	13364
hak	30030
hal	172893
ham	447701
han	442483
hao	12535
haa	11887
hab	296480
hac	35528
had	218207
hae	80641
haf	27444
hag	35038
hax	660
hay	26951
haz	13358
hap	60705
haq	1977
har	578399
has	283561
hat	95878
hau	74677
hav	172889
haw	32074
 .l	125
ha,	105229
ha-	20234
ha.	60029
ha 	818619
ha!	1117
ha'	1204
ha:	6503
ha;	2745
ha?	822
 íd	4959
 íg	493
 ía	179
 íb	555
 íc	3717
 íl	438
 ím	2334
 ín	56320
 ío	2480
 ít	2272
 ír	1726
 ís	1309
haé	754
haë	845
haí	1057
haî	375
haï	1263
haú	609
ípo	1882
hañ	147
 í 	776
dnb	133
d '	934
d !	564
d  	41428
d -	18211
d ,	727
d ;	142
d :	584
äst	3824
äss	692
äsm	595
äsk	393
äsi	904
äse	546
äsc	300
d g	43253
d f	58663
d e	83986
d d	86443
d c	96914
d b	87946
d a	110597
d o	72847
d n	38494
d m	74582
d l	57710
d k	23605
d j	19911
d i	45766
d h	57052
d w	47583
d v	26049
d u	18449
d t	102100
d s	155328
d r	65974
d q	5749
d p	84369
d z	6582
d y	8389
d x	1090
ldó	481
dny	603
äs 	311
xka	118
xku	1481
d á	237
d à	319
d é	11985
ysk	10445
ysj	145
zrt	122
zre	762
zra	3181
zro	962
zri	739
ufd	177
ysm	1012
ps-	1831
zr 	299
wv 	1221
ufr	13649
ufs	2613
uft	8698
wvi	211
.tv	1710
.tj	134
kxi	126
 pq	5971
 pp	42264
 pu	302506
 pt	44099
 pf	9222
pít	20845
píp	346
pír	37945
pís	2447
píd	1217
píe	226
píf	1543
píg	467
pía	8949
píc	3898
píl	1782
pín	2295
pío	460
jif	442
jig	2370
jid	2407
jie	1614
ähk	167
jic	2978
jia	8074
jin	25979
jil	7485
jim	34981
jij	601
jik	2790
jih	1133
jiv	2454
jiw	775
jit	5656
jiu	2755
jir	6612
jis	3946
jip	1065
jiq	1995
jiz	360
ähr	703
:aí	165
:aé	683
pí 	147
:añ	1084
ji 	21315
ji.	1314
ji,	2665
ji:	255
:a.	971
:a-	550
:a 	12715
nsp	101044
mów	334
móv	25776
mót	2226
mós	2044
mór	31743
móp	766
món	30614
mól	1313
mói	417
móg	807
móf	372
mód	8242
móc	555
móa	494
:an	110398
:ao	1345
:al	100920
:am	30882
:aj	1562
:ak	6526
:ah	3348
:ai	10858
:af	8747
:ag	15550
:ad	19283
:ae	6703
:ab	19779
:ac	29607
:aa	3133
:az	5887
:ax	1148
:ay	2538
:av	18499
:aw	981
:at	38265
:au	32456
:ar	79356
:as	62630
:ap	15810
:aq	2012
 gü	5281
mó 	266
yss	10226
 gú	141
afr	73637
zoá	4041
zoé	263
zoë	246
zoó	992
 gâ	2534
 gí	1392
 gê	95969
zoa	5672
zob	1486
zoc	1667
zod	3948
zof	3043
zog	3380
zoi	6538
zok	1103
zol	15837
zon	149740
zoo	22569
zop	1985
zor	16735
zos	9617
zot	3725
zou	40102
zov	4609
zow	3833
zoz	1555
gw 	213
zo 	42416
zo;	172
 pò	128
'ry	118
uor	10408
uop	827
uou	31773
uoy	697
uox	365
yz 	1443
pòs	136
pòr	158
yz,	223
yz.	122
uoc	2151
uob	271
nsá	45662
uof	298
yzs	329
yzu	226
yzy	522
uod	3522
fij	5576
yzd	124
yze	1667
yzh	198
fih	446
yzn	724
yzo	2236
uoh	438
sòn	173
uon	7931
sòs	147
uom	5063
vuo	5540
uol	12898
vul	56530
gwi	3600
vuv	184
vur	6125
 gp	16097
vuz	288
uid	157289
 gf	2118
 go	631269
uo;	1296
uik	2897
mpv	397
uo-	271
fi-	683
íbo	590
èct	124
èca	346
èce	848
èch	3212
èci	404
ècl	1408
mpu	82798
uin	360000
vl.	190
eúb	140
cân	47127
câm	48819
câr	299
ën 	2594
ënn	145
ënd	237
ënz	260
ënt	171
ëns	395
uxc	137
vli	4475
úpu	3775
úpi	6168
úpl	352
úpa	233
úpc	968
úpe	438
vls	4174
w' 	127
èxi	234
w's	724
ux.	2575
êgo	732
êga	135
,in	913
úmi	13888
úmb	2813
úma	3523
úme	123768
úmr	3435
úmp	688
ás,	14735
úmu	16546
dhé	126
evo	179338
úm.	554
úm 	292
nr.	1596
nr,	172
nr 	1610
.ef	131
nrk	203
nrj	303
nri	75659
nrh	927
nro	21088
nrm	3678
nrl	245
nrc	127
nra	29724
nrg	219
nre	24216
nry	27214
nrs	367
nrr	197
nrp	1031
nrw	132
nru	1159
nrt	167
íje	166
 fó	35646
 fô	1179
knè	260
 fö	2517
íjn	252
 fú	9187
 fü	8505
 fá	40753
 fà	260
 fã	14885
 fâ	274
 fä	762
 fé	32261
 fë	202
 fê	8104
 fí	44443
ásp	2818
ühr	3847
 f:	2577
kn 	576
 f 	9132
ühe	872
kn:	5109
ühb	127
üha	208
ühl	3627
 f-	4866
 f,	782
 f.	36052
nré	133
nrí	642
nrá	149
nró	150
 fq	850
kno	26106
 fs	2844
 fr	950850
 fu	703966
 ft	3469
 fw	2183
kni	14598
 fy	2526
 fx	1842
knd	150
kne	11014
ása	1268
kna	3968
 fa	1456318
 fc	34126
 fb	3317
 fe	1023494
 fd	2281
 fg	4292
 ff	39932
 fi	1375022
 fh	1587
 fk	2515
knu	3575
 fm	18367
 fl	305827
 fo	2667704
 fn	1838
.ea	561
aé.	214
ásm	276
ii'	136
ii-	2940
dõe	3484
kll	120
.ff	603
eú,	136
evr	11570
.a 	6186
.a.	37266
.a,	344
.ew	158
ádá	185
kli	27596
.ab	3367
.ac	2660
.aa	410
.af	1089
.ag	1299
.ad	4437
.ae	675
.ak	198
.ah	154
.ai	721
.an	5122
.ao	646
.al	6738
.am	3832
.ar	6705
.as	17364
.ap	2715
.aq	316
.av	654
.aw	137
.at	3756
.au	2401
.az	548
.ax	145
è, 	591
wé 	187
efí	6984
aéd	344
áes	150
áet	123
iid	25763
áez	1234
áed	252
iia	1422
áen	459
ézi	4021
efá	2998
.f.	8765
cês	54465
nmd	133
pf!	378
pf 	15343
pf-	180
pf,	1092
pf.	766
irè	432
gòr	383
irê	208
pfa	5772
pfc	1109
pfe	3973
pfd	136
pfg	636
pff	732
pfi	1538
pfh	125
pfk	180
dlí	120
pfm	178
pfl	7828
pfo	869
pfn	167
pfp	209
pfs	352
pfr	656
pfu	543
pfw	309
mjä	288
mjö	244
mj 	858
mj,	164
mj.	260
pfä	186
bän	273
ádu	2481
áds	128
mje	1460
mja	1154
mjo	929
mji	385
mju	371
ády	150
lët	186
lës	379
!wi	154392
uór	352
uó 	194
.ii	804
rî 	127
irh	1453
